Yeniseysk Airport;58.4597329;58.4906775;92.0910756;92.1201435
Kyzyl Airport;51.6529081;51.6852234;94.3680089;94.4344567
Spichenkovo Airport;53.799278;53.8245243;86.8590476;86.8880583
Khatanga Airport;71.9695894;71.9887018;102.4507161;102.5468753
Igarka Airport;67.4256109;67.4468511;86.5955468;86.6516183
Khankala Air Base;43.2918089;43.3017466;45.7615373;45.802039
Nalchik Airport;43.5059304;43.5203033;43.6215122;43.6530778
Beslan Airport;43.1984189;43.2108743;44.5757639;44.6394093
Elista Airport;46.3636015;46.3783147;44.2961512;44.3601321
Salekhard Airport;66.5817298;66.6025334;66.5710261;66.6602218
Khanty Mansiysk Airport;61.0222595;61.0356409;69.0442068;69.1297284
Nyagan Airport;62.0894508;62.1318098;65.5986362;65.6204822
Sovetskiy Airport;44.628744;44.6656884;40.0740357;40.1122282
Izhevsk Airport;56.8209249;56.8530275;53.4383033;53.4782734
Pobedilovo Airport;58.4872986;58.5171;49.3138894;49.3752267
Nadym Airport;65.4663248;65.4999348;72.6746709;72.7167317
Raduzhny Airport;62.1378884;62.1782295;77.3197425;77.3373886
Nefteyugansk Airport;61.0932029;61.1236636;72.6322414;72.6662106
Kurgan Airport;55.4001208;55.4182959;64.9289596;64.9641438
Staroselye Airport;58.0943559;58.1118082;38.9057241;38.9493862
Belgorod International Airport;50.6355771;50.6550692;36.5675237;36.6125302
Kursk East Airport;51.7368627;51.7679013;36.2672753;36.3258811
Lipetsk Airport;52.6898442;52.7178611;39.5152367;39.5481541
Vorkuta Airport;67.4831521;67.4924871;63.9594921;64.0202235
Bugulma Airport;54.6222379;54.6524485;52.7814896;52.8119113
Yoshkar-Ola Airport;56.6880589;56.7225246;47.8784102;47.9088939
Cheboksary Airport;56.0794725;56.0967851;47.3154846;47.3732967
Ulyanovsk East Airport;54.3747865;54.4299374;48.7734386;48.8329503
Orsk Airport;51.0660974;51.0809396;58.5582524;58.6342137
Penza Airport;53.0989999;53.1204382;44.9930414;45.0599476
Saransk Airport;54.1070653;54.1483202;45.1922763;45.2299959
Balakovo Airport;51.8420517;51.8734134;47.7237897;47.7647285
Berezovo Airport;51.8420517;51.8734134;47.7237897;47.7647285
Kostroma Sokerkino Airport;51.8420517;51.8734134;47.7237897;47.7647285
Donskoye Airport;54.925332;54.9498106;19.9706639;19.9958658
Kirovsk-Apatity Airport;67.4453329;67.4753329;33.5691426;33.5991426
Kirensk Airport;57.7688663;57.7744033;108.0441805;108.077865
Ust-Kut Airport;56.8513813;56.8670517;105.7019701;105.7545809
Taganrog Yuzhny Airport;47.1890555;47.2032815;38.8268024;38.8790983
Gelendzhik Airport;47.1890555;47.2032815;38.8268024;38.8790983
Zhukovsky International Airport;55.5570897;55.5652365;38.1119827;38.1270769
Irkutsk Northwest Airport;52.3564959;52.3803061;104.1614668;104.2072047
Khabarovsk Airport;48.508723;48.5474307;135.162754;135.2157047
Dzemgi Airport;50.5901631;50.6195941;137.0718451;137.0927252
Belaya Air Base;52.8924422;52.9392448;103.5178362;103.6030062
Tunoshna Airport;57.5527587;57.5689375;40.1320256;40.1863996
Begishevo Airport;55.5534277;55.5773241;52.0704663;52.1164559
Ulyanovsk Baratayevka Airport;54.2454038;54.2923503;48.1978095;48.2503772
Strezhevoy Airport;60.6980468;60.7254683;77.6435658;77.6698471
Batagay Airport;67.632455;67.6600514;134.6408943;134.737946
Vologda Airport;59.2658952;59.291568;39.9322473;39.955207
Severo-Evensk Airport;61.9130276;61.9314419;159.2223651;159.2362034
Olenyok Airport;68.5035926;68.5272029;112.4758724;112.4844659
Saskylakh Airport;71.9175911;71.9366834;114.0760908;114.0942663
Leshukonskoye Airport;71.9175911;71.9366834;114.0760908;114.0942663
Nizhneangarsk Airport;55.7937711;55.809284;109.5834783;109.6056464
Vanavara Airport;60.3500889;60.3619796;102.297003;102.3260801
Aykhal Airport;60.3500889;60.3619796;102.297003;102.3260801
Uktus Airport;56.6952318;56.7048331;60.7650508;60.8167644
Baykit Airport;61.6736586;61.6821425;96.3358476;96.3712498
Biysk Airport;52.4712532;52.4851131;85.3218038;85.3653224
Dyagilevo Air Base;54.6355984;54.6570502;39.5378078;39.5996917
Mezen Airport;65.8715933;65.8862302;44.2043363;44.2246394
Vaskovo Airport;64.4283559;64.4542583;40.397494;40.4454817
Stary Oskol Airport;51.3202737;51.3381264;37.7530078;37.7855764
Cheremshanka Airport;56.1690449;56.1827407;92.5184288;92.5789064
Chkalovskiy Air Base;55.8615874;55.8990375;38.0186671;38.0936879
Bolshoye Gryzlovo Airfield;55.8615874;55.8990375;38.0186671;38.0936879
Turukhansk Airport;65.7836628;65.8136628;87.9146117;87.9446117
Podkamennaya Tunguska Airport;61.5788365;61.5993782;89.970136;90.0157155
Kolpashevo Airport;58.3161173;58.3389154;82.9258756;82.9392548
Tura Mountain Airport;64.324435;64.3445463;100.424325;100.436907
Beloyarskiy Airport;64.324435;64.3445463;100.424325;100.436907
Kasimovo Airfield;64.324435;64.3445463;100.424325;100.436907
Grabtsevo Airport;64.324435;64.3445463;100.424325;100.436907
Ostafyevo International Airport;64.324435;64.3445463;100.424325;100.436907
Ust-Kamchatsk Airport;64.324435;64.3445463;100.424325;100.436907
Kozyrevsk Airport;56.0754977;56.1048467;159.8610085;159.8931884
Dikson Airport;73.5139652;73.5194755;80.3499881;80.4096705
Ust-Tsylma Airport;65.4201034;65.4501034;52.1849397;52.2149397
Gorno-Altaysk Airport;51.9528191;51.9818901;85.8225442;85.8479413
Mys Shmidta Airport;68.8555209;68.8839689;-179.4270977;-179.3484516
Moma Airport;-7.2497595;-7.2197595;22.5933929;22.6233929
Typliy Klyuch Airport;-7.2497595;-7.2197595;22.5933929;22.6233929
Magan Airport;62.0890303;62.1190303;129.5351723;129.5651723
Cooma Hospital Helipad;62.0890303;62.1190303;129.5351723;129.5651723
Ust-Nera Airport;64.5447954;64.5553462;143.0851334;143.135953
Velikiy Ustyug Airport;60.7805038;60.7964806;46.2516868;46.2713612
Sortavala Airport;61.7225766;61.7525766;30.6568332;30.6868332
Bodaybo Airport;57.8569904;57.8738966;114.2196216;114.2608715
Lensk Airport;60.7104291;60.7310329;114.7834661;114.8488862
Kavalerovo Airport;44.251963;44.281963;135.019052;135.049052
Velikiye Luki Airport;56.3749082;56.3874929;30.5975504;30.6145099
Yeltsovka Airport;55.0685048;55.1112869;82.9865837;83.0178228
Kodinsk Airport;58.474171;58.487021;99.0756379;99.1137567
Srednekolymsk Airport;67.4634091;67.4932164;153.7166159;153.7499548
Chara Airport;56.9069136;56.9219286;118.2566287;118.2832832
Adamovka;56.9069136;56.9219286;118.2566287;118.2832832
Kvarkeno;56.9069136;56.9219286;118.2566287;118.2832832
Markovo Airport;64.6511768;64.6811768;170.4017065;170.4317065
Seymchan Airport;62.9099622;62.9286195;152.4140146;152.428799
Zyryanka Airport;65.7403503;65.7565466;150.8761454;150.9005416
Susuman Airport;62.7599129;62.7683244;148.136337;148.1544276
Ust-Maya Airport;60.3499874;60.3654611;134.422275;134.4526706
Aldan Airport;58.5961475;58.6112756;125.3963658;125.4229631
Olyokminsk Airport;60.3956038;60.4050366;120.4513532;120.4907495
Vitim Airport;59.4496653;59.4655114;112.5562104;112.5712345
Yerbogachen Airport;61.2700798;61.2806897;108.0134314;108.0492067
Suntar Airport;62.1764582;62.1949922;117.624813;117.6452452
Bagdarin Airport;54.3631232;54.3763803;113.4636061;113.4933447
